unique_id,age,sex,bfi_a1,bfi_a2,bfi_a3,bfi_a4,bfi_a5,bfi_a6,bfi_a7,bfi_a8,bfi_a9,bfi_c1,bfi_c2,bfi_c3,bfi_c4,bfi_c5,bfi_c6,bfi_c7,bfi_c8,bfi_c9,bfi_e1,bfi_e2,bfi_e3,bfi_e4,bfi_e5,bfi_e6,bfi_e7,bfi_e8,bfi_n1,bfi_n2,bfi_n3,bfi_n4,bfi_n5,bfi_n6,bfi_n7,bfi_n8,bfi_o1,bfi_o10,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o7,bfi_o8,bfi_o9,mean_bfi_a,mean_bfi_c,mean_bfi_e,mean_bfi_n,mean_bfi_o,IAT_score,exclusion
354340,32,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,1,5,4,4,5,5,4,3,4,3,3,4,5,4,2,3,2,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.444444444444445,3.75,2.375,NA,-0.32684615131438693,include
357132,51,f,6,4,6,6,6,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,6,6,5,6,5,5.444444444444445,NA,NA,NA,5.5,-0.6254329841185189,include
368445,25,m,2,6,1,1,6,3,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,1,3,6,6,NA,6,3,3.7777777777777777,NA,NA,NA,4,-0.04918924445530779,exclude
361490,41,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,2,3,5,5,6,3,6,3,6,6,4,5,2,3,3,3,4,4,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.111111111111111,4.375,3,NA,0.13197495251566554,include
365480,21,f,6,6,6,6,6,5,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,6,5,6,3,6,4,5.444444444444445,NA,NA,NA,5,-0.3035878787294704,include
365691,32,f,3,5,5,5,3,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,5,6,4,6,5,5,5,4.444444444444445,NA,NA,NA,4.9,-0.20175693646017603,include
365766,20,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,2,3,5,3,4,2,4,3,5,5,3,4,2,4,2,3,4,4,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3333333333333335,3.75,2.5,NA,-0.7801177215732966,include
366258,25,m,5,5,6,5,6,3,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,6,5,5,5,6,5,3,5.333333333333333,NA,NA,NA,4.9,-0.6511658072686008,include
372836,26,f,2,5,4,5,5,2,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,6,6,6,6,4,5,6,4.111111111111111,NA,NA,NA,5.5,-0.3175256049540191,include
388154,19,f,2,5,6,5,3,4,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,3,5,4,6,3,5,5,4.444444444444445,NA,NA,NA,4.7,-0.8023305510403469,include
491808,22,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,5,6,6,5,2,3,5,3,2,2,3,3,2,2,4,3,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.444444444444445,2.875,3.125,NA,0.18770138067446956,include
418670,17,m,4,4,5,5,5,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,5,5,5,5,6,4,4,NA,NA,NA,5,-0.05574712165172399,include
394075,21,f,3,5,6,5,3,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,6,5,6,3,5,4,5,NA,NA,NA,5.1,0.09859022735573014,include
401021,20,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,2,2,6,6,4,5,4,3,3,5,3,2,3,4,5,6,5,6,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.333333333333333,3.375,4.5,NA,0.23866551538855635,include
419450,52,m,5,4,6,6,4,5,4,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,5,6,6,4.777777777777778,NA,NA,NA,5.9,-0.29267633942500193,include
421489,18,f,2,5,5,3,5,3,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,4,6,6,6,5,6,6,3.888888888888889,NA,NA,NA,5.7,-0.3243352241172064,include
429123,43,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,3,6,5,6,5,2,4,3,3,5,2,5,4,5,4,2,5,4,2,4,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.875,3.625,NA,-0.5727272116090188,include
429559,19,m,3,5,4,6,6,6,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,3,5,5,6,3,4,4,5.222222222222222,NA,NA,NA,4.5,-0.6429403500101324,include
433267,34,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,3,4,2,5,5,5,1,2,4,2,1,3,2,1,2,3,4,2,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.111111111111111,2,2.5,NA,-0.3141298068170994,include
435868,31,f,5,4,5,6,5,3,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,5,5,5,6,6,6,6,4.555555555555555,NA,NA,NA,5.6,0.15646204987780957,include
